event,epoch,global_step,step_in_epoch,loss_total,loss_hard_ce,loss_kd_kl,loss_aux,alpha_hard,temperature,lr,grad_norm_l2,tok_acc,tok_count,tok_per_sec,seconds_since_start,cuda_mem_alloc_mb,cuda_mem_reserved_mb,cuda_max_mem_alloc_mb,cuda_max_mem_reserved_mb,ts
kd_step,1,18,71,9.496735572814941,6.054198741912842,12.939271926879883,0.0,0.5,2.0,1.1822660098522168e-05,4.616209525446898,0.13319296339061332,58892,13640.276635076376,74.11847114562988,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:46
kd_step,1,19,75,8.647856712341309,6.040971755981445,11.254741668701172,0.0,0.5,2.0,1.2479474548440066e-05,4.4127220051917995,0.11507929397007437,55805,12763.860333849603,78.49058103561401,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:50
kd_step,1,20,79,9.629316329956055,6.044763565063477,13.213868141174316,0.0,0.5,2.0,1.3136288998357965e-05,4.1357894250376,0.10529370978925133,62017,14143.774192159208,82.87533736228943,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:54
kd_step,1,21,83,9.220539093017578,5.857216835021973,12.583861351013184,0.0,0.5,2.0,1.3793103448275863e-05,3.8773413174678772,0.15634110180079627,60029,13745.29241057817,87.24257731437683,1944.1279296875,21672.0,19789.3359375,21672.0,2026-02-19T19:19:59
kd_step,1,22,85,9.32541561126709,5.799283027648926,12.851548194885254,0.0,0.5,2.0,1.444991789819376e-05,1.8349045987720491,0.1502791180199911,60727,26949.78367356742,89.49591779708862,1944.69189453125,21672.0,19789.3359375,21672.0,2026-02-19T19:20:01
kd_step,2,23,3,9.112053871154785,5.817500591278076,12.406606674194336,0.0,0.5,2.0,1.510673234811166e-05,3.308052457665905,0.1506046956722599,60609,9472.161090614365,95.8945689201355,1944.69189453125,21672.0,19789.3359375,21672.0,2026-02-19T19:20:07
kd_step,2,24,7,8.728497505187988,5.7456955909729,11.711299896240234,0.0,0.5,2.0,1.576354679802956e-05,3.1602923808568266,0.1543417603787943,59135,13456.222550135557,100.28918361663818,1944.69189453125,21672.0,19789.3359375,21672.0,2026-02-19T19:20:12
kd_step,2,25,11,8.964141845703125,5.726335525512695,12.201949119567871,0.0,0.5,2.0,1.6420361247947455e-05,3.0339447314982286,0.15353228394850957,58574,13444.891016265015,104.64578294754028,1944.69189453125,21672.0,19789.3359375,21672.0,2026-02-19T19:20:16
kd_step,2,26,15,9.142536163330078,5.796779632568359,12.488292694091797,0.0,0.5,2.0,1.7077175697865354e-05,2.861014809850559,0.13216097729175902,60903,13884.35652693154,109.03223013877869,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:20:20
kd_step,2,27,19,9.086709976196289,5.968252182006836,12.205166816711426,0.0,0.5,2.0,1.7733990147783254e-05,2.80681676126134,0.09919922913343966,60192,13498.306980637532,113.49145555496216,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:20:25
kd_step,2,28,23,8.751594543457031,5.731420040130615,11.771769523620605,0.0,0.5,2.0,1.839080459770115e-05,2.676707574435796,0.14022935553398377,60779,8899.124842600973,120.32122921943665,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:20:32
kd_step,2,29,27,8.677165985107422,5.718995571136475,11.635336875915527,0.0,0.5,2.0,1.9047619047619046e-05,2.696394003301915,0.13418467583497054,61080,9385.790114742773,126.82894086837769,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:20:38
kd_step,2,30,31,8.347949028015137,5.5800395011901855,11.11585807800293,0.0,0.5,2.0,1.970443349753695e-05,2.592751690577507,0.17211943834709592,57402,10594.269501099398,132.2471513748169,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:20:44
kd_step,2,31,35,8.584033012390137,5.505883693695068,11.662181854248047,0.0,0.5,2.0,2.0361247947454845e-05,2.5547489437081645,0.16074082933246767,58529,11351.868231840223,137.4030430316925,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:20:49
kd_step,2,32,39,8.732036590576172,5.5773420333862305,11.886730194091797,0.0,0.5,2.0,2.101806239737274e-05,2.557713469076109,0.14511465930744463,60876,12862.692032587593,142.13579964637756,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:20:54
kd_step,2,33,43,8.540658950805664,5.632589817047119,11.448728561401367,0.0,0.5,2.0,2.1674876847290644e-05,2.438692930664671,0.13560352162814523,57587,12425.640806505562,146.77032947540283,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:20:58
kd_step,2,34,47,8.640520095825195,5.490880966186523,11.790160179138184,0.0,0.5,2.0,2.233169129720854e-05,2.4359524190662403,0.15594332931998484,60631,13271.452169486209,151.3388774394989,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:21:03
kd_step,2,35,51,8.781888961791992,5.46863317489624,12.095145225524902,0.0,0.5,2.0,2.2988505747126437e-05,2.514499856654028,0.15078572221429365,63063,13773.05648051272,155.91758251190186,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:21:07
kd_step,2,36,55,8.839868545532227,5.435731887817383,12.244006156921387,0.0,0.5,2.0,2.3645320197044336e-05,2.4280171835722935,0.13543137223799628,63043,13797.869053427328,160.48661875724792,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:21:12
kd_step,2,37,59,8.876341819763184,5.515108585357666,12.237574577331543,0.0,0.5,2.0,2.4302134646962236e-05,2.476758072915821,0.1298248382515386,63370,13906.7125282772,165.04341077804565,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:21:16
kd_step,2,38,63,8.473987579345703,5.399095058441162,11.548880577087402,0.0,0.5,2.0,2.4958949096880132e-05,2.4469135446491066,0.13134161019603963,60651,13300.529409824037,169.60346961021423,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:21:21
kd_step,2,39,67,8.024845123291016,5.343841552734375,10.70584774017334,0.0,0.5,2.0,2.561576354679803e-05,2.415959239286544,0.14368286166094116,55017,12120.40541874374,174.1426613330841,1944.69287109375,21672.0,19789.51318359375,21672.0,2026-02-19T19:21:26
kd_step,2,40,71,8.766931533813477,5.5341596603393555,11.999704360961914,0.0,0.5,2.0,2.627257799671593e-05,2.3051135175659314,0.10055083107846927,62088,13661.790084970187,178.6873083114624,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:21:30
kd_step,2,41,75,8.225127220153809,5.400357246398926,11.049897193908691,0.0,0.5,2.0,2.6929392446633827e-05,2.2043649381158184,0.12133615703582425,56191,12378.682139458919,183.2266411781311,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:21:35
kd_step,2,42,79,8.431357383728027,5.209653377532959,11.653060913085938,0.0,0.5,2.0,2.7586206896551727e-05,2.1783039608945836,0.15663986692542278,61319,13487.865297622388,187.77287578582764,1944.69287109375,21672.0,19789.51318359375,21672.0,2026-02-19T19:21:39
kd_step,2,43,83,8.009822845458984,5.351165294647217,10.668479919433594,0.0,0.5,2.0,2.8243021346469623e-05,2.0967508099217738,0.11933581626319056,57996,12786.80707076638,192.30848836898804,1944.69189453125,21672.0,19789.51318359375,21672.0,2026-02-19T19:21:44
kd_step,2,44,85,8.775554656982422,5.341699123382568,12.209410667419434,0.0,0.5,2.0,2.889983579638752e-05,1.0805751710505702,0.11869936297853918,64676,27828.63201490618,194.6325707435608,1944.1279296875,21672.0,19789.51318359375,21672.0,2026-02-19T19:21:46
kd_step,3,45,3,8.248042106628418,5.3712477684021,11.124835968017578,0.0,0.5,2.0,2.9556650246305422e-05,1.971219844733418,0.11101069181317463,58643,8630.178836416586,201.42768144607544,1944.1279296875,21672.0,19789.51318359375,21672.0,2026-02-19T19:21:53
kd_step,3,46,7,8.139342308044434,5.126211643218994,11.152473449707031,0.0,0.5,2.0,3.021346469622332e-05,2.0144541891769983,0.16062151620900378,63329,14797.29828211763,205.70744562149048,1944.1279296875,21672.0,19789.51318359375,21672.0,2026-02-19T19:21:57
kd_step,3,47,11,8.06040096282959,5.177354335784912,10.943448066711426,0.0,0.5,2.0,3.087027914614122e-05,1.920718877046704,0.13652926821114567,59826,13842.760041952768,210.02927088737488,1944.1279296875,21672.0,19789.51318359375,21672.0,2026-02-19T19:22:01
kd_step,3,48,15,7.974479675292969,5.2660088539123535,10.682950973510742,0.0,0.5,2.0,3.152709359605912e-05,1.9143901040869409,0.12589711374627816,58103,13291.979863959114,214.40055441856384,1944.1279296875,21672.0,19789.51318359375,21672.0,2026-02-19T19:22:06
kd_step,3,49,19,8.141656875610352,5.170539379119873,11.112773895263672,0.0,0.5,2.0,3.218390804597701e-05,1.927974156003956,0.13907448244083861,60766,13928.19791368095,218.76335859298706,1944.1279296875,21672.0,19789.51318359375,21672.0,2026-02-19T19:22:10
kd_step,3,50,23,7.834232330322266,5.123763561248779,10.54470157623291,0.0,0.5,2.0,3.284072249589491e-05,1.8612914553851208,0.1275275451740855,56725,12223.523179529255,223.40400075912476,1944.1279296875,21672.0,19789.51318359375,21672.0,2026-02-19T19:22:15
